edad,sexo,periodo,total
De 25 a 29 años,Ambos sexos,2012T2,"30,40"
De 25 a 29 años,Ambos sexos,2012T1,"30,37"
De 25 a 29 años,Ambos sexos,2011T4,"27,29"
De 25 a 29 años,Ambos sexos,2011T3,"25,82"
De 25 a 29 años,Ambos sexos,2011T2,"25,48"
De 25 a 29 años,Ambos sexos,2011T1,"26,66"
De 25 a 29 años,Ambos sexos,2010T4,"25,37"
De 25 a 29 años,Ambos sexos,2010T3,"24,44"
De 25 a 29 años,Ambos sexos,2010T2,"24,00"
De 25 a 29 años,Ambos sexos,2010T1,"24,98"
De 25 a 29 años,Hombres,2023T4,"14,73"
De 25 a 29 años,Hombres,2023T3,"13,83"
De 25 a 29 años,Hombres,2023T2,"14,91"
De 25 a 29 años,Hombres,2023T1,"17,00"
De 25 a 29 años,Hombres,2022T4,"16,95"
De 25 a 29 años,Hombres,2022T3,"14,59"
De 25 a 29 años,Hombres,2022T2,"13,80"
De 25 a 29 años,Hombres,2022T1,"18,72"
De 25 a 29 años,Hombres,2021T4,"19,73"
De 25 a 29 años,Hombres,2021T3,"21,63"
De 25 a 29 años,Hombres,2021T2,"21,78"
De 25 a 29 años,Hombres,2021T1,"23,28"
De 25 a 29 años,Hombres,2020T4,"22,98"
De 25 a 29 años,Hombres,2020T3,"23,80"
De 25 a 29 años,Hombres,2020T2,"23,21"
De 25 a 29 años,Hombres,2020T1,"18,77"
De 25 a 29 años,Hombres,2019T4,"18,94"
De 25 a 29 años,Hombres,2019T3,"18,43"
De 25 a 29 años,Hombres,2019T2,"19,01"
De 25 a 29 años,Hombres,2019T1,"19,09"
De 25 a 29 años,Hombres,2018T4,"18,53"
De 25 a 29 años,Hombres,2018T3,"18,06"
De 25 a 29 años,Hombres,2018T2,"19,56"
De 25 a 29 años,Hombres,2018T1,"21,56"
De 25 a 29 años,Hombres,2017T4,"20,88"
De 25 a 29 años,Hombres,2017T3,"21,02"
De 25 a 29 años,Hombres,2017T2,"21,88"
De 25 a 29 años,Hombres,2017T1,"24,00"
De 25 a 29 años,Hombres,2016T4,"23,16"
De 25 a 29 años,Hombres,2016T3,"22,59"
De 25 a 29 años,Hombres,2016T2,"25,48"
De 25 a 29 años,Hombres,2016T1,"27,74"
De 25 a 29 años,Hombres,2015T4,"28,85"
De 25 a 29 años,Hombres,2015T3,"27,78"
De 25 a 29 años,Hombres,2015T2,"28,89"
De 25 a 29 años,Hombres,2015T1,"30,06"
De 25 a 29 años,Hombres,2014T4,"30,25"
De 25 a 29 años,Hombres,2014T3,"28,54"
De 25 a 29 años,Hombres,2014T2,"30,27"
De 25 a 29 años,Hombres,2014T1,"33,41"
De 25 a 29 años,Hombres,2013T4,"33,93"
De 25 a 29 años,Hombres,2013T3,"33,26"
De 25 a 29 años,Hombres,2013T2,"34,65"
De 25 a 29 años,Hombres,2013T1,"36,02"
De 25 a 29 años,Hombres,2012T4,"34,55"
De 25 a 29 años,Hombres,2012T3,"33,69"
De 25 a 29 años,Hombres,2012T2,"33,35"
De 25 a 29 años,Hombres,2012T1,"32,32"
De 25 a 29 años,Hombres,2011T4,"28,25"
De 25 a 29 años,Hombres,2011T3,"26,75"
De 25 a 29 años,Hombres,2011T2,"26,25"
De 25 a 29 años,Hombres,2011T1,"27,62"
De 25 a 29 años,Hombres,2010T4,"26,30"
De 25 a 29 años,Hombres,2010T3,"25,11"
De 25 a 29 años,Hombres,2010T2,"25,44"
De 25 a 29 años,Hombres,2010T1,"26,93"
De 25 a 29 años,Mujeres,2023T4,"16,81"
De 25 a 29 años,Mujeres,2023T3,"17,41"
De 25 a 29 años,Mujeres,2023T2,"13,60"
De 25 a 29 años,Mujeres,2023T1,"17,50"
De 25 a 29 años,Mujeres,2022T4,"17,36"
De 25 a 29 años,Mujeres,2022T3,"19,77"
De 25 a 29 años,Mujeres,2022T2,"14,93"
De 25 a 29 años,Mujeres,2022T1,"18,16"
De 25 a 29 años,Mujeres,2021T4,"18,06"
De 25 a 29 años,Mujeres,2021T3,"20,46"
De 25 a 29 años,Mujeres,2021T2,"22,75"
De 25 a 29 años,Mujeres,2021T1,"25,73"
De 25 a 29 años,Mujeres,2020T4,"24,11"
De 25 a 29 años,Mujeres,2020T3,"25,74"
De 25 a 29 años,Mujeres,2020T2,"24,27"
De 25 a 29 años,Mujeres,2020T1,"20,64"
De 25 a 29 años,Mujeres,2019T4,"19,12"
De 25 a 29 años,Mujeres,2019T3,"19,08"
De 25 a 29 años,Mujeres,2019T2,"18,25"
De 25 a 29 años,Mujeres,2019T1,"19,96"
De 25 a 29 años,Mujeres,2018T4,"19,67"
De 25 a 29 años,Mujeres,2018T3,"20,66"
De 25 a 29 años,Mujeres,2018T2,"21,63"
De 25 a 29 años,Mujeres,2018T1,"23,44"
De 25 a 29 años,Mujeres,2017T4,"22,57"
De 25 a 29 años,Mujeres,2017T3,"24,05"
De 25 a 29 años,Mujeres,2017T2,"23,96"
De 25 a 29 años,Mujeres,2017T1,"25,59"
De 25 a 29 años,Mujeres,2016T4,"24,99"
De 25 a 29 años,Mujeres,2016T3,"25,36"
De 25 a 29 años,Mujeres,2016T2,"26,54"
De 25 a 29 años,Mujeres,2016T1,"29,08"
De 25 a 29 años,Mujeres,2015T4,"26,23"
De 25 a 29 años,Mujeres,2015T3,"27,91"
De 25 a 29 años,Mujeres,2015T2,"27,91"
De 25 a 29 años,Mujeres,2015T1,"30,31"
De 25 a 29 años,Mujeres,2014T4,"29,25"
De 25 a 29 años,Mujeres,2014T3,"28,97"
De 25 a 29 años,Mujeres,2014T2,"29,74"
De 25 a 29 años,Mujeres,2014T1,"32,08"
De 25 a 29 años,Mujeres,2013T4,"30,79"
De 25 a 29 años,Mujeres,2013T3,"30,19"
De 25 a 29 años,Mujeres,2013T2,"32,81"
De 25 a 29 años,Mujeres,2013T1,"34,11"
De 25 a 29 años,Mujeres,2012T4,"32,71"
De 25 a 29 años,Mujeres,2012T3,"29,36"
De 25 a 29 años,Mujeres,2012T2,"27,23"
De 25 a 29 años,Mujeres,2012T1,"28,27"
De 25 a 29 años,Mujeres,2011T4,"26,26"
De 25 a 29 años,Mujeres,2011T3,"24,79"
De 25 a 29 años,Mujeres,2011T2,"24,63"
De 25 a 29 años,Mujeres,2011T1,"25,62"
De 25 a 29 años,Mujeres,2010T4,"24,36"
De 25 a 29 años,Mujeres,2010T3,"23,71"
De 25 a 29 años,Mujeres,2010T2,"22,44"
De 25 a 29 años,Mujeres,2010T1,"22,85"
De 30 a 34 años,Ambos sexos,2023T4,"11,80"
De 30 a 34 años,Ambos sexos,2023T3,"11,64"
De 30 a 34 años,Ambos sexos,2023T2,"11,07"
De 30 a 34 años,Ambos sexos,2023T1,"13,60"
De 30 a 34 años,Ambos sexos,2022T4,"12,70"
De 30 a 34 años,Ambos sexos,2022T3,"12,11"
De 30 a 34 años,Ambos sexos,2022T2,"12,40"
De 30 a 34 años,Ambos sexos,2022T1,"13,50"
De 30 a 34 años,Ambos sexos,2021T4,"13,93"
De 30 a 34 años,Ambos sexos,2021T3,"14,77"
De 30 a 34 años,Ambos sexos,2021T2,"15,99"
De 30 a 34 años,Ambos sexos,2021T1,"16,79"
De 30 a 34 años,Ambos sexos,2020T4,"17,15"
De 30 a 34 años,Ambos sexos,2020T3,"18,03"
De 30 a 34 años,Ambos sexos,2020T2,"17,19"
De 30 a 34 años,Ambos sexos,2020T1,"14,85"
De 30 a 34 años,Ambos sexos,2019T4,"14,00"
De 30 a 34 años,Ambos sexos,2019T3,"14,20"
De 30 a 34 años,Ambos sexos,2019T2,"13,47"
De 30 a 34 años,Ambos sexos,2019T1,"13,96"
De 30 a 34 años,Ambos sexos,2018T4,"14,71"
De 30 a 34 años,Ambos sexos,2018T3,"14,86"
De 30 a 34 años,Ambos sexos,2018T2,"14,54"
De 30 a 34 años,Ambos sexos,2018T1,"16,65"
De 30 a 34 años,Ambos sexos,2017T4,"16,71"
De 30 a 34 años,Ambos sexos,2017T3,"15,73"
De 30 a 34 años,Ambos sexos,2017T2,"16,59"
De 30 a 34 años,Ambos sexos,2017T1,"17,54"
De 30 a 34 años,Ambos sexos,2016T4,"18,46"
De 30 a 34 años,Ambos sexos,2016T3,"18,45"
De 30 a 34 años,Ambos sexos,2016T2,"19,63"
De 30 a 34 años,Ambos sexos,2016T1,"20,38"
De 30 a 34 años,Ambos sexos,2015T4,"20,25"
De 30 a 34 años,Ambos sexos,2015T3,"20,21"
De 30 a 34 años,Ambos sexos,2015T2,"21,96"
De 30 a 34 años,Ambos sexos,2015T1,"24,11"
De 30 a 34 años,Ambos sexos,2014T4,"23,35"
De 30 a 34 años,Ambos sexos,2014T3,"23,05"
De 30 a 34 años,Ambos sexos,2014T2,"23,86"
De 30 a 34 años,Ambos sexos,2014T1,"25,85"
De 30 a 34 años,Ambos sexos,2013T4,"26,06"
De 30 a 34 años,Ambos sexos,2013T3,"25,43"
De 30 a 34 años,Ambos sexos,2013T2,"25,26"
De 30 a 34 años,Ambos sexos,2013T1,"26,79"
De 30 a 34 años,Ambos sexos,2012T4,"26,26"
De 30 a 34 años,Ambos sexos,2012T3,"24,70"
De 30 a 34 años,Ambos sexos,2012T2,"23,81"
De 30 a 34 años,Ambos sexos,2012T1,"23,92"
De 30 a 34 años,Ambos sexos,2011T4,"22,43"
De 30 a 34 años,Ambos sexos,2011T3,"20,82"
De 30 a 34 años,Ambos sexos,2011T2,"20,79"
De 30 a 34 años,Ambos sexos,2011T1,"21,13"
De 30 a 34 años,Ambos sexos,2010T4,"19,58"
De 30 a 34 años,Ambos sexos,2010T3,"18,91"
De 30 a 34 años,Ambos sexos,2010T2,"19,00"
De 30 a 34 años,Ambos sexos,2010T1,"19,40"
De 30 a 34 años,Hombres,2023T4,"10,21"
De 30 a 34 años,Hombres,2023T3,"9,78"
De 30 a 34 años,Hombres,2023T2,"10,02"
De 30 a 34 años,Hombres,2023T1,"12,03"
De 30 a 34 años,Hombres,2022T4,"11,90"
De 30 a 34 años,Hombres,2022T3,"10,34"
De 30 a 34 años,Hombres,2022T2,"11,70"
De 30 a 34 años,Hombres,2022T1,"12,53"
De 30 a 34 años,Hombres,2021T4,"13,94"
De 30 a 34 años,Hombres,2021T3,"13,88"
De 30 a 34 años,Hombres,2021T2,"14,64"
De 30 a 34 años,Hombres,2021T1,"15,99"
De 30 a 34 años,Hombres,2020T4,"15,03"
De 30 a 34 años,Hombres,2020T3,"16,33"
De 30 a 34 años,Hombres,2020T2,"16,27"
De 30 a 34 años,Hombres,2020T1,"12,73"
De 30 a 34 años,Hombres,2019T4,"12,08"
De 30 a 34 años,Hombres,2019T3,"11,70"
De 30 a 34 años,Hombres,2019T2,"10,99"
De 30 a 34 años,Hombres,2019T1,"11,89"
De 30 a 34 años,Hombres,2018T4,"13,50"
De 30 a 34 años,Hombres,2018T3,"12,99"
De 30 a 34 años,Hombres,2018T2,"12,18"
De 30 a 34 años,Hombres,2018T1,"14,66"
De 30 a 34 años,Hombres,2017T4,"15,32"
De 30 a 34 años,Hombres,2017T3,"14,38"
De 30 a 34 años,Hombres,2017T2,"15,85"
De 30 a 34 años,Hombres,2017T1,"15,89"
De 30 a 34 años,Hombres,2016T4,"17,13"
De 30 a 34 años,Hombres,2016T3,"17,15"
De 30 a 34 años,Hombres,2016T2,"17,84"
De 30 a 34 años,Hombres,2016T1,"18,54"
De 30 a 34 años,Hombres,2015T4,"18,11"
De 30 a 34 años,Hombres,2015T3,"18,97"
De 30 a 34 años,Hombres,2015T2,"20,70"
De 30 a 34 años,Hombres,2015T1,"23,12"
De 30 a 34 años,Hombres,2014T4,"22,45"
De 30 a 34 años,Hombres,2014T3,"22,25"
De 30 a 34 años,Hombres,2014T2,"23,18"
De 30 a 34 años,Hombres,2014T1,"24,82"
De 30 a 34 años,Hombres,2013T4,"25,31"
De 30 a 34 años,Hombres,2013T3,"25,01"
De 30 a 34 años,Hombres,2013T2,"24,96"
De 30 a 34 años,Hombres,2013T1,"27,11"
De 30 a 34 años,Hombres,2012T4,"27,22"
De 30 a 34 años,Hombres,2012T3,"24,85"
De 30 a 34 años,Hombres,2012T2,"24,65"
De 30 a 34 años,Hombres,2012T1,"24,35"
De 30 a 34 años,Hombres,2011T4,"22,73"
De 30 a 34 años,Hombres,2011T3,"20,94"
De 30 a 34 años,Hombres,2011T2,"20,47"
De 30 a 34 años,Hombres,2011T1,"20,71"
De 30 a 34 años,Hombres,2010T4,"19,72"
De 30 a 34 años,Hombres,2010T3,"18,45"
De 30 a 34 años,Hombres,2010T2,"19,16"
De 30 a 34 años,Hombres,2010T1,"19,66"
De 30 a 34 años,Mujeres,2023T4,"13,51"
De 30 a 34 años,Mujeres,2023T3,"13,69"
De 30 a 34 años,Mujeres,2023T2,"12,22"
De 30 a 34 años,Mujeres,2023T1,"15,30"
De 30 a 34 años,Mujeres,2022T4,"13,58"
De 30 a 34 años,Mujeres,2022T3,"14,01"
De 30 a 34 años,Mujeres,2022T2,"13,15"
De 30 a 34 años,Mujeres,2022T1,"14,55"
De 30 a 34 años,Mujeres,2021T4,"13,91"
De 30 a 34 años,Mujeres,2021T3,"15,74"
De 30 a 34 años,Mujeres,2021T2,"17,47"
De 30 a 34 años,Mujeres,2021T1,"17,66"
De 30 a 34 años,Mujeres,2020T4,"19,40"
De 30 a 34 años,Mujeres,2020T3,"19,87"
De 30 a 34 años,Mujeres,2020T2,"18,22"
De 30 a 34 años,Mujeres,2020T1,"17,15"
De 30 a 34 años,Mujeres,2019T4,"16,10"
De 30 a 34 años,Mujeres,2019T3,"16,92"
De 30 a 34 años,Mujeres,2019T2,"16,13"
De 30 a 34 años,Mujeres,2019T1,"16,22"
De 30 a 34 años,Mujeres,2018T4,"16,04"
De 30 a 34 años,Mujeres,2018T3,"16,90"
De 30 a 34 años,Mujeres,2018T2,"17,10"
De 30 a 34 años,Mujeres,2018T1,"18,87"
De 30 a 34 años,Mujeres,2017T4,"18,22"
De 30 a 34 años,Mujeres,2017T3,"17,21"
De 30 a 34 años,Mujeres,2017T2,"17,41"
De 30 a 34 años,Mujeres,2017T1,"19,33"
De 30 a 34 años,Mujeres,2016T4,"19,93"
De 30 a 34 años,Mujeres,2016T3,"19,87"
De 30 a 34 años,Mujeres,2016T2,"21,58"
De 30 a 34 años,Mujeres,2016T1,"22,39"
De 30 a 34 años,Mujeres,2015T4,"22,57"
De 30 a 34 años,Mujeres,2015T3,"21,59"
De 30 a 34 años,Mujeres,2015T2,"23,33"
De 30 a 34 años,Mujeres,2015T1,"25,18"
De 30 a 34 años,Mujeres,2014T4,"24,34"
De 30 a 34 años,Mujeres,2014T3,"23,92"
De 30 a 34 años,Mujeres,2014T2,"24,59"
De 30 a 34 años,Mujeres,2014T1,"26,94"
De 30 a 34 años,Mujeres,2013T4,"26,87"
De 30 a 34 años,Mujeres,2013T3,"25,89"
De 30 a 34 años,Mujeres,2013T2,"25,59"
De 30 a 34 años,Mujeres,2013T1,"26,44"
De 30 a 34 años,Mujeres,2012T4,"25,17"
De 30 a 34 años,Mujeres,2012T3,"24,53"
De 30 a 34 años,Mujeres,2012T2,"22,84"
De 30 a 34 años,Mujeres,2012T1,"23,42"
De 30 a 34 años,Mujeres,2011T4,"22,08"
De 30 a 34 años,Mujeres,2011T3,"20,68"
De 30 a 34 años,Mujeres,2011T2,"21,17"
De 30 a 34 años,Mujeres,2011T1,"21,62"
De 30 a 34 años,Mujeres,2010T4,"19,42"
De 30 a 34 años,Mujeres,2010T3,"19,45"
De 30 a 34 años,Mujeres,2010T2,"18,82"
De 30 a 34 años,Mujeres,2010T1,"19,10"
De 35 a 39 años,Ambos sexos,2023T4,"10,58"
De 35 a 39 años,Ambos sexos,2023T3,"9,88"
De 35 a 39 años,Ambos sexos,2023T2,"10,33"
De 35 a 39 años,Ambos sexos,2023T1,"12,33"
De 35 a 39 años,Ambos sexos,2022T4,"12,15"
De 35 a 39 años,Ambos sexos,2022T3,"11,47"
De 35 a 39 años,Ambos sexos,2022T2,"11,29"
De 35 a 39 años,Ambos sexos,2022T1,"12,35"
De 35 a 39 años,Ambos sexos,2021T4,"10,78"
De 35 a 39 años,Ambos sexos,2021T3,"12,40"
De 35 a 39 años,Ambos sexos,2021T2,"14,12"
De 35 a 39 años,Ambos sexos,2021T1,"15,35"
De 35 a 39 años,Ambos sexos,2020T4,"15,15"
De 35 a 39 años,Ambos sexos,2020T3,"14,13"
De 35 a 39 años,Ambos sexos,2020T2,"14,37"
De 35 a 39 años,Ambos sexos,2020T1,"12,86"
De 35 a 39 años,Ambos sexos,2019T4,"11,64"
De 35 a 39 años,Ambos sexos,2019T3,"10,94"
De 35 a 39 años,Ambos sexos,2019T2,"11,41"
De 35 a 39 años,Ambos sexos,2019T1,"11,95"
De 35 a 39 años,Ambos sexos,2018T4,"12,21"
De 35 a 39 años,Ambos sexos,2018T3,"12,25"
De 35 a 39 años,Ambos sexos,2018T2,"12,50"
De 35 a 39 años,Ambos sexos,2018T1,"14,37"
De 35 a 39 años,Ambos sexos,2017T4,"13,87"
De 35 a 39 años,Ambos sexos,2017T3,"13,44"
De 35 a 39 años,Ambos sexos,2017T2,"14,15"
De 35 a 39 años,Ambos sexos,2017T1,"15,99"
De 35 a 39 años,Ambos sexos,2016T4,"15,86"
De 35 a 39 años,Ambos sexos,2016T3,"15,91"
De 35 a 39 años,Ambos sexos,2016T2,"16,40"
De 35 a 39 años,Ambos sexos,2016T1,"18,16"
De 35 a 39 años,Ambos sexos,2015T4,"17,73"
De 35 a 39 años,Ambos sexos,2015T3,"17,20"
De 35 a 39 años,Ambos sexos,2015T2,"19,47"
De 35 a 39 años,Ambos sexos,2015T1,"20,57"
De 35 a 39 años,Ambos sexos,2014T4,"20,27"
De 35 a 39 años,Ambos sexos,2014T3,"20,65"
De 35 a 39 años,Ambos sexos,2014T2,"20,70"
De 35 a 39 años,Ambos sexos,2014T1,"22,76"
De 35 a 39 años,Ambos sexos,2013T4,"22,29"
De 35 a 39 años,Ambos sexos,2013T3,"22,22"
De 35 a 39 años,Ambos sexos,2013T2,"22,80"
De 35 a 39 años,Ambos sexos,2013T1,"23,49"
De 35 a 39 años,Ambos sexos,2012T4,"22,55"
De 35 a 39 años,Ambos sexos,2012T3,"21,14"
De 35 a 39 años,Ambos sexos,2012T2,"21,16"
De 35 a 39 años,Ambos sexos,2012T1,"21,63"
De 35 a 39 años,Ambos sexos,2011T4,"20,25"
De 35 a 39 años,Ambos sexos,2011T3,"18,86"
De 35 a 39 años,Ambos sexos,2011T2,"17,68"
De 35 a 39 años,Ambos sexos,2011T1,"18,49"
De 35 a 39 años,Ambos sexos,2010T4,"17,81"
De 35 a 39 años,Ambos sexos,2010T3,"18,21"
De 35 a 39 años,Ambos sexos,2010T2,"18,09"
De 35 a 39 años,Ambos sexos,2010T1,"18,40"
De 35 a 39 años,Hombres,2023T4,"8,14"
De 35 a 39 años,Hombres,2023T3,"8,47"
De 35 a 39 años,Hombres,2023T2,"8,33"
De 35 a 39 años,Hombres,2023T1,"10,44"
De 35 a 39 años,Hombres,2022T4,"9,67"
De 35 a 39 años,Hombres,2022T3,"9,57"
De 35 a 39 años,Hombres,2022T2,"10,02"
De 35 a 39 años,Hombres,2022T1,"10,36"
De 35 a 39 años,Hombres,2021T4,"9,07"
De 35 a 39 años,Hombres,2021T3,"10,84"
De 35 a 39 años,Hombres,2021T2,"12,48"
De 35 a 39 años,Hombres,2021T1,"12,39"
De 35 a 39 años,Hombres,2020T4,"12,95"
De 35 a 39 años,Hombres,2020T3,"11,43"
De 35 a 39 años,Hombres,2020T2,"12,37"
De 35 a 39 años,Hombres,2020T1,"10,47"
De 35 a 39 años,Hombres,2019T4,"9,92"
De 35 a 39 años,Hombres,2019T3,"9,18"
De 35 a 39 años,Hombres,2019T2,"9,45"
De 35 a 39 años,Hombres,2019T1,"10,18"
De 35 a 39 años,Hombres,2018T4,"10,76"
De 35 a 39 años,Hombres,2018T3,"10,49"
De 35 a 39 años,Hombres,2018T2,"10,67"
De 35 a 39 años,Hombres,2018T1,"12,45"
De 35 a 39 años,Hombres,2017T4,"11,35"
De 35 a 39 años,Hombres,2017T3,"11,42"
De 35 a 39 años,Hombres,2017T2,"12,02"
De 35 a 39 años,Hombres,2017T1,"13,85"
De 35 a 39 años,Hombres,2016T4,"13,99"
De 35 a 39 años,Hombres,2016T3,"14,35"
De 35 a 39 años,Hombres,2016T2,"13,87"
De 35 a 39 años,Hombres,2016T1,"15,62"
De 35 a 39 años,Hombres,2015T4,"15,41"
De 35 a 39 años,Hombres,2015T3,"15,37"
De 35 a 39 años,Hombres,2015T2,"17,72"
De 35 a 39 años,Hombres,2015T1,"19,72"
De 35 a 39 años,Hombres,2014T4,"18,80"
De 35 a 39 años,Hombres,2014T3,"18,71"
De 35 a 39 años,Hombres,2014T2,"19,95"
De 35 a 39 años,Hombres,2014T1,"21,63"
De 35 a 39 años,Hombres,2013T4,"20,32"
De 35 a 39 años,Hombres,2013T3,"21,21"
De 35 a 39 años,Hombres,2013T2,"21,36"
De 35 a 39 años,Hombres,2013T1,"22,29"
De 35 a 39 años,Hombres,2012T4,"20,80"
De 35 a 39 años,Hombres,2012T3,"20,30"
De 35 a 39 años,Hombres,2012T2,"20,67"
De 35 a 39 años,Hombres,2012T1,"21,01"
De 35 a 39 años,Hombres,2011T4,"19,10"
De 35 a 39 años,Hombres,2011T3,"17,91"
De 35 a 39 años,Hombres,2011T2,"17,07"
De 35 a 39 años,Hombres,2011T1,"17,50"
De 35 a 39 años,Hombres,2010T4,"16,70"
De 35 a 39 años,Hombres,2010T3,"16,92"
De 35 a 39 años,Hombres,2010T2,"16,45"
De 35 a 39 años,Hombres,2010T1,"16,83"
De 35 a 39 años,Mujeres,2023T4,"13,24"
De 35 a 39 años,Mujeres,2023T3,"11,43"
De 35 a 39 años,Mujeres,2023T2,"12,49"
De 35 a 39 años,Mujeres,2023T1,"14,37"
De 35 a 39 años,Mujeres,2022T4,"14,82"
De 35 a 39 años,Mujeres,2022T3,"13,57"
De 35 a 39 años,Mujeres,2022T2,"12,69"
De 35 a 39 años,Mujeres,2022T1,"14,52"
De 35 a 39 años,Mujeres,2021T4,"12,64"
De 35 a 39 años,Mujeres,2021T3,"14,13"
De 35 a 39 años,Mujeres,2021T2,"15,91"
De 35 a 39 años,Mujeres,2021T1,"18,62"
De 35 a 39 años,Mujeres,2020T4,"17,57"
De 35 a 39 años,Mujeres,2020T3,"17,12"
De 35 a 39 años,Mujeres,2020T2,"16,62"
De 35 a 39 años,Mujeres,2020T1,"15,45"
De 35 a 39 años,Mujeres,2019T4,"13,50"
De 35 a 39 años,Mujeres,2019T3,"12,87"
De 35 a 39 años,Mujeres,2019T2,"13,59"
De 35 a 39 años,Mujeres,2019T1,"13,88"
De 35 a 39 años,Mujeres,2018T4,"13,83"
De 35 a 39 años,Mujeres,2018T3,"14,24"
De 35 a 39 años,Mujeres,2018T2,"14,53"
De 35 a 39 años,Mujeres,2018T1,"16,51"
De 35 a 39 años,Mujeres,2017T4,"16,67"
De 35 a 39 años,Mujeres,2017T3,"15,71"
De 35 a 39 años,Mujeres,2017T2,"16,54"
De 35 a 39 años,Mujeres,2017T1,"18,39"
De 35 a 39 años,Mujeres,2016T4,"17,96"
De 35 a 39 años,Mujeres,2016T3,"17,68"
De 35 a 39 años,Mujeres,2016T2,"19,20"
De 35 a 39 años,Mujeres,2016T1,"21,00"
De 35 a 39 años,Mujeres,2015T4,"20,34"
De 35 a 39 años,Mujeres,2015T3,"19,30"
De 35 a 39 años,Mujeres,2015T2,"21,46"
De 35 a 39 años,Mujeres,2015T1,"21,53"
De 35 a 39 años,Mujeres,2014T4,"21,94"
De 35 a 39 años,Mujeres,2014T3,"22,88"
De 35 a 39 años,Mujeres,2014T2,"21,57"
De 35 a 39 años,Mujeres,2014T1,"24,04"
De 35 a 39 años,Mujeres,2013T4,"24,55"
De 35 a 39 años,Mujeres,2013T3,"23,40"
De 35 a 39 años,Mujeres,2013T2,"24,46"
De 35 a 39 años,Mujeres,2013T1,"24,88"
De 35 a 39 años,Mujeres,2012T4,"24,59"
De 35 a 39 años,Mujeres,2012T3,"22,13"
De 35 a 39 años,Mujeres,2012T2,"21,73"
De 35 a 39 años,Mujeres,2012T1,"22,36"
De 35 a 39 años,Mujeres,2011T4,"21,63"
De 35 a 39 años,Mujeres,2011T3,"20,02"
De 35 a 39 años,Mujeres,2011T2,"18,42"
De 35 a 39 años,Mujeres,2011T1,"19,69"
De 35 a 39 años,Mujeres,2010T4,"19,18"
De 35 a 39 años,Mujeres,2010T3,"19,81"
De 35 a 39 años,Mujeres,2010T2,"20,09"
De 35 a 39 años,Mujeres,2010T1,"20,35"
De 40 a 44 años,Ambos sexos,2023T4,"8,72"
De 40 a 44 años,Ambos sexos,2023T3,"8,92"
De 40 a 44 años,Ambos sexos,2023T2,"9,24"
De 40 a 44 años,Ambos sexos,2023T1,"10,70"
De 40 a 44 años,Ambos sexos,2022T4,"10,03"
De 40 a 44 años,Ambos sexos,2022T3,"9,85"
De 40 a 44 años,Ambos sexos,2022T2,"10,35"
De 40 a 44 años,Ambos sexos,2022T1,"10,97"
De 40 a 44 años,Ambos sexos,2021T4,"10,43"
De 40 a 44 años,Ambos sexos,2021T3,"11,48"
De 40 a 44 años,Ambos sexos,2021T2,"11,23"
De 40 a 44 años,Ambos sexos,2021T1,"12,49"
De 40 a 44 años,Ambos sexos,2020T4,"12,48"
De 40 a 44 años,Ambos sexos,2020T3,"12,48"
De 40 a 44 años,Ambos sexos,2020T2,"11,96"
De 40 a 44 años,Ambos sexos,2020T1,"11,53"
De 40 a 44 años,Ambos sexos,2019T4,"10,79"
De 40 a 44 años,Ambos sexos,2019T3,"11,63"
De 40 a 44 años,Ambos sexos,2019T2,"11,32"
De 40 a 44 años,Ambos sexos,2019T1,"12,11"
De 40 a 44 años,Ambos sexos,2018T4,"11,27"
De 40 a 44 años,Ambos sexos,2018T3,"11,58"
De 40 a 44 años,Ambos sexos,2018T2,"11,83"
De 40 a 44 años,Ambos sexos,2018T1,"13,35"
De 40 a 44 años,Ambos sexos,2017T4,"13,09"
De 40 a 44 años,Ambos sexos,2017T3,"12,98"
De 40 a 44 años,Ambos sexos,2017T2,"13,80"
De 40 a 44 años,Ambos sexos,2017T1,"15,98"
De 40 a 44 años,Ambos sexos,2016T4,"15,07"
De 40 a 44 años,Ambos sexos,2016T3,"15,71"
De 40 a 44 años,Ambos sexos,2016T2,"17,11"
De 40 a 44 años,Ambos sexos,2016T1,"17,37"
De 40 a 44 años,Ambos sexos,2015T4,"17,29"
De 40 a 44 años,Ambos sexos,2015T3,"17,09"
De 40 a 44 años,Ambos sexos,2015T2,"18,39"
De 40 a 44 años,Ambos sexos,2015T1,"20,28"
De 40 a 44 años,Ambos sexos,2014T4,"20,83"
De 40 a 44 años,Ambos sexos,2014T3,"19,84"
De 40 a 44 años,Ambos sexos,2014T2,"21,42"
De 40 a 44 años,Ambos sexos,2014T1,"22,31"
De 40 a 44 años,Ambos sexos,2013T4,"22,07"
De 40 a 44 años,Ambos sexos,2013T3,"22,18"
De 40 a 44 años,Ambos sexos,2013T2,"22,33"
De 40 a 44 años,Ambos sexos,2013T1,"23,62"
De 40 a 44 años,Ambos sexos,2012T4,"22,80"
De 40 a 44 años,Ambos sexos,2012T3,"21,66"
De 40 a 44 años,Ambos sexos,2012T2,"21,66"
De 40 a 44 años,Ambos sexos,2012T1,"21,46"
De 40 a 44 años,Ambos sexos,2011T4,"20,51"
De 40 a 44 años,Ambos sexos,2011T3,"18,71"
De 40 a 44 años,Ambos sexos,2011T2,"18,30"
De 40 a 44 años,Ambos sexos,2011T1,"18,12"
De 40 a 44 años,Ambos sexos,2010T4,"17,38"
